                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.4659,                0.86592,                 1.1082,                0.81182,                0.69624,                0.76477,                0.30954,                 2.0615,                 1.1886,                 1.4441,              0.0095314,              0.0095314,              0.0095314
                     74,                 1.4186,                0.82368,                 1.0854,                0.77466,                0.70483,                0.75168,                0.30836,                 2.0608,                 1.1668,                 1.4728,              0.0095248,              0.0095248,              0.0095248
                     75,                 1.4129,                 0.8266,                  1.091,                0.79609,                 0.7184,                0.77521,                0.32598,                 2.0385,                 1.0868,                 1.4476,              0.0095182,              0.0095182,              0.0095182
                     76,                 1.4345,                0.82329,                 1.0936,                0.80752,                0.67201,                0.75649,                0.31319,                 2.0368,                 1.1357,                 1.4491,              0.0095116,              0.0095116,              0.0095116
                     77,                 1.4066,                0.80629,                 1.0875,                0.81987,                0.64461,                0.75281,                0.31702,                 2.0221,                 1.1778,                 1.4384,               0.009505,               0.009505,               0.009505
                     78,                 1.4078,                0.84744,                 1.0984,                0.81925,                0.71924,                0.79215,                0.34231,                 1.9808,                 1.0627,                 1.4254,              0.0094984,              0.0094984,              0.0094984
                     79,                 1.3895,                0.86026,                  1.079,                0.81776,                0.66161,                0.74624,                0.31518,                 2.0414,                  1.284,                 1.4342,              0.0094918,              0.0094918,              0.0094918
                     80,                 1.4395,                0.83705,                 1.0949,                0.82826,                0.62268,                0.72348,                0.30041,                  2.072,                 1.1955,                 1.4384,              0.0094852,              0.0094852,              0.0094852
                     81,                 1.4138,                 0.8124,                 1.0818,                 0.8176,                0.72984,                0.78315,                0.33027,                 2.0215,                 1.0632,                 1.4262,              0.0094786,              0.0094786,              0.0094786
                     82,                 1.4239,                0.80215,                 1.0984,                0.85383,                 0.7227,                0.78842,                0.34125,                 1.9954,                 1.0681,                 1.4212,               0.009472,               0.009472,               0.009472
                     83,                 1.4082,                0.79902,                  1.085,                0.82746,                0.72985,                0.77672,                0.31132,                 2.0743,                 1.0446,                 1.4576,              0.0094654,              0.0094654,              0.0094654
                     84,                 1.3879,                0.80066,                 1.0859,                0.81567,                0.71699,                0.78148,                0.33876,                 1.9898,                 1.0128,                 1.4201,              0.0094588,              0.0094588,              0.0094588
                     85,                 1.3965,                0.80291,                 1.0833,                0.80955,                0.74372,                0.78319,                0.33016,                 2.0072,                 1.0287,                 1.4396,              0.0094522,              0.0094522,              0.0094522
                     86,                 1.3947,                0.78861,                 1.0607,                0.81203,                0.70351,                0.76894,                0.31871,                  2.089,                 1.0871,                  1.501,              0.0094456,              0.0094456,              0.0094456
                     87,                 1.4039,                0.80048,                 1.0879,                   0.84,                0.72643,                0.78524,                0.33536,                 2.0341,                 1.0273,                  1.456,               0.009439,               0.009439,               0.009439
                     88,                 1.3949,                0.78982,                 1.0799,                0.79073,                  0.716,                0.78586,                0.32335,                 2.0619,                 1.0413,                 1.4969,              0.0094324,              0.0094324,              0.0094324
                     89,                 1.3996,                0.78552,                 1.0876,                0.83374,                0.71229,                0.79933,                0.35187,                 1.9954,                 1.0514,                 1.4296,              0.0094258,              0.0094258,              0.0094258
