                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.86951,                 0.4265,                0.86835,                0.85689,                0.77357,                0.81958,                0.37614,                 1.9162,                0.91274,                 1.3426,              0.0094192,              0.0094192,              0.0094192
                     91,                0.86467,                0.43033,                0.86362,                0.85081,                0.79634,                0.82431,                0.37111,                 1.9373,                0.92004,                 1.3547,              0.0094126,              0.0094126,              0.0094126
                     92,                0.86809,                0.41673,                0.86737,                0.83816,                 0.7957,                0.82712,                0.36706,                 1.9564,                 0.9413,                 1.3654,               0.009406,               0.009406,               0.009406
                     93,                0.83884,                0.41703,                0.86275,                0.85475,                 0.8088,                0.83532,                 0.3767,                 1.8986,                0.86476,                 1.3433,              0.0093994,              0.0093994,              0.0093994
                     94,                0.86925,                0.43217,                0.86856,                0.87184,                0.79593,                0.83403,                0.36602,                 1.9534,                0.88014,                 1.3508,              0.0093928,              0.0093928,              0.0093928
                     95,                0.87014,                0.41756,                0.86296,                 0.8629,                0.81326,                0.84797,                0.37562,                 1.9328,                 0.8396,                 1.3423,              0.0093862,              0.0093862,              0.0093862
                     96,                0.85699,                0.41311,                0.86175,                0.89165,                0.79244,                0.84917,                0.38545,                 1.9371,                0.84237,                 1.3533,              0.0093796,              0.0093796,              0.0093796
                     97,                0.86297,                0.41548,                0.86299,                0.82928,                0.81216,                0.83625,                0.36506,                 2.0055,                0.86259,                 1.3881,               0.009373,               0.009373,               0.009373
                     98,                0.84255,                0.41627,                0.86042,                0.84918,                0.81364,                0.83691,                0.36401,                 1.9962,                0.87025,                 1.4058,              0.0093664,              0.0093664,              0.0093664
                     99,                0.83248,                0.40875,                 0.8584,                 0.8738,                0.79852,                0.84515,                0.38369,                  1.903,                0.86176,                 1.3477,              0.0093598,              0.0093598,              0.0093598
                    100,                0.82397,                 0.4118,                0.86208,                0.87122,                0.79183,                0.83632,                0.37396,                 1.9513,                0.94558,                 1.3693,              0.0093532,              0.0093532,              0.0093532
